sample_id,model,faithfulness,coverage,temporal,overall,unverifiable_rate,caption,visualization
levir-cc_test_000004,Draft,0.6630710902258916,1.0,0.9602272238340092,0.8067345443910423,0.5,a road with a branch is built and villas are built around the road to replace the trees .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000004/overview_A_B_reference.png
levir-cc_test_000004,Guided,0.6630710902258916,1.0,0.9602272238340092,0.8067345443910423,0.5,a road with a branch is built and villas are built around the road to replace the trees .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000004/overview_A_B_reference.png
levir-cc_test_000004,Change-Agent,0.5349812801725451,1.0,0.9470272904483431,0.7336451621845684,1.0,the vegetation has been removed and a road with villas built along appears,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000004/overview_A_B_reference.png
levir-cc_test_000017,Draft,0.5567233405644334,1.0,0.9581596043828178,0.7478297581870019,1.0,many trees are removed and houses are built along the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000017/overview_A_B_reference.png
levir-cc_test_000017,Guided,0.5567233405644334,1.0,0.9581596043828178,0.7478297581870019,1.0,many trees are removed and houses are built along the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000017/overview_A_B_reference.png
levir-cc_test_000017,Change-Agent,0.555672293620599,1.0,0.9584995643600679,0.747319674363343,1.0,the vegetation has been removed and many houses are built along the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000017/overview_A_B_reference.png
levir-cc_test_000018,Draft,0.8044147007293321,0.8947368421052632,1.0,0.8661122959274484,0.0,massive houses appear in the desert .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000018/overview_A_B_reference.png
levir-cc_test_000018,Guided,0.8044147007293321,0.8947368421052632,1.0,0.8661122959274484,0.0,massive houses appear in the desert .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000018/overview_A_B_reference.png
levir-cc_test_000018,Change-Agent,0.5069369264535236,1.0,0.5169566940682436,0.6322066483630867,0.6666666666666666,the vegetation has been removed and many houses are built along the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000018/overview_A_B_reference.png
levir-cc_test_000019,Draft,0.5455814149728442,1.0,0.5412454761013353,0.6583188734553314,0.0,massive houses along the roads replace the woods .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000019/overview_A_B_reference.png
levir-cc_test_000019,Guided,0.5455814149728442,1.0,0.5412454761013353,0.6583188734553314,0.0,massive houses along the roads replace the woods .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000019/overview_A_B_reference.png
levir-cc_test_000019,Change-Agent,0.41808434648703713,1.0,0.5012707343432183,0.5802005374365141,0.6666666666666666,the vegetation has been removed and many houses are built along the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000019/overview_A_B_reference.png
levir-cc_test_000020,Draft,0.6040249966402365,1.0,1.0,0.7822137481521301,1.0,four houses appear in the left of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000020/overview_A_B_reference.png
levir-cc_test_000020,Guided,0.6040249966402365,1.0,1.0,0.7822137481521301,1.0,four houses appear in the left of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000020/overview_A_B_reference.png
levir-cc_test_000020,Change-Agent,0.6040249966402365,1.0,1.0,0.7822137481521301,1.0,some houses appear in the desert,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000020/overview_A_B_reference.png
levir-cc_test_000031,Draft,0.0,0.0,0.0,0.0,0.0,some trees are removed and a lake appears .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000031/overview_A_B_reference.png
levir-cc_test_000031,Guided,0.0,0.0,0.0,0.0,0.0,some trees are removed and a lake appears .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000031/overview_A_B_reference.png
levir-cc_test_000031,Change-Agent,0.0,0.0,0.0,0.0,0.0,the vegetation has been removed,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000031/overview_A_B_reference.png
levir-cc_test_000032,Draft,0.7408113730929264,1.0,1.0,0.8574462552011095,0.0,a building appears in the top left corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000032/overview_A_B_reference.png
levir-cc_test_000032,Guided,0.7408113730929264,1.0,1.0,0.8574462552011095,0.0,a building appears in the top left corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000032/overview_A_B_reference.png
levir-cc_test_000032,Change-Agent,0.35156455459225744,0.0,1.0,0.3933605050257416,0.5,a house appears in the center of the scene and some trees are removed,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000032/overview_A_B_reference.png
levir-cc_test_000044,Draft,0.2920418006430868,1.0,0.5,0.5106229903536977,0.5,a house appears on the right side of the road .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000044/overview_A_B_reference.png
levir-cc_test_000044,Guided,0.2920418006430868,1.0,0.5,0.5106229903536977,0.5,a house appears on the right side of the road along with additional smaller structures or vehicles .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000044/overview_A_B_reference.png
levir-cc_test_000044,Change-Agent,0.5840836012861736,1.0,1.0,0.7712459807073955,1.0,a building appears on the bareland on the bareland,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000044/overview_A_B_reference.png
levir-cc_test_000045,Draft,0.3910614803024274,1.0,1.0,0.6650838141663351,0.0,a building appears at the bottom right corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000045/overview_A_B_reference.png
levir-cc_test_000045,Guided,0.3910614803024274,1.0,1.0,0.6650838141663351,0.0,a building appears at the bottom right corner of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000045/overview_A_B_reference.png
levir-cc_test_000045,Change-Agent,0.05216891225764048,1.0,,0.3483661271771278,0.0,some houses are built at the bottom of the scene,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000045/overview_A_B_reference.png
levir-cc_test_000047,Draft,0.7271444856084355,1.0,1.0,0.8499294670846396,1.0,a building appears in the right of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000047/overview_A_B_reference.png
levir-cc_test_000047,Guided,0.7271444856084355,1.0,1.0,0.8499294670846396,1.0,a building appears in the right of the scene .,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000047/overview_A_B_reference.png
levir-cc_test_000047,Change-Agent,0.0,0.0,,0.0,0.0,a villa is built on the bareland near the road,/root/autodl-tmp/mga-artifacts/segearth-ov3/smoke-10x3-v1/scenes/levir-cc-test-000047/overview_A_B_reference.png
